rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1532957343843619108,,0,,1532957342,832901954,"""0""","""AMZN""",1817.27001953,"""2018-07-30""","""At close","""06",9.27000045776,0.509999990463,1808.0,1876.05004883,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,9491823.0,3937422.0,8.81788977152e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,228.589996338,nan,nan,nan,nan,''
1532957403014720916,,0,,1532957401,679466962,"""1""","""AMZN""",1817.27001953,"""2018-07-30""","""As of  4","""06",9.27000045776,0.509999990463,1808.0,1876.05004883,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,9491823.0,3937422.0,8.81788977152e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,228.589996338,nan,nan,nan,nan,''
1532957461533653974,,0,,1532957460,536964893,"""2""","""AMZN""",1825.51000977,"""2018-07-30""","""As of  9","""06",8.23999977112,0.449999988079,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,178502.0,3937422.0,8.85787000832e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,229.619995117,nan,nan,nan,nan,''
1532957519986371994,,0,,1532957519,359467029,"""3""","""AMZN""",1828.08996582,"""2018-07-30""","""As of  9","""06",10.8199996948,0.600000023842,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,224676.0,3937422.0,8.87039000576e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,229.949996948,nan,nan,nan,nan,''
1532957579210391998,,0,,1532957578,182553052,"""4""","""AMZN""",1826.55407715,"""2018-07-30""","""As of  9","""06",9.28409957886,0.509999990463,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,257046.0,3937422.0,8.86293004288e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,229.759994507,nan,nan,nan,nan,''
1532957637672528982,,0,,1532957636,996893882,"""5""","""AMZN""",1818.68005371,"""2018-07-30""","""As of  9","""06",1.40999996662,0.0799999982119,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,322593.0,3937422.0,8.82472976384e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,228.729995728,nan,nan,nan,nan,''
1532957696883470058,,0,,1532957695,830374956,"""6""","""AMZN""",1815.89001465,"""2018-07-30""","""As of  9","""06",-1.37999999523,-0.0799999982119,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,374688.0,3937422.0,8.81119002624e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,228.410003662,nan,nan,nan,nan,''
1532957757331911087,,0,,1532957754,626096963,"""7""","""AMZN""",1813.0,"""2018-07-30""","""As of  9","""06",-4.26999998093,-0.230000004172,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,424293.0,3937422.0,8.79716990976e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,228.050003052,nan,nan,nan,nan,''
1532957816301394939,,0,,1532957813,477164983,"""8""","""AMZN""",1812.21948242,"""2018-07-30""","""As of  9","""06",-5.05049991608,-0.280000001192,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,488383.0,3937422.0,8.79337996288e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,227.949996948,nan,nan,nan,nan,''
1532957875428360939,,0,,1532957872,298424005,"""9""","""AMZN""",1811.98999023,"""2018-07-30""","""As of  9","""06",-5.28000020981,-0.289999991655,1817.27001953,1827.32995605,nan,nan,nan,nan,nan,nan,931.75,1880.05004883,531974.0,3937422.0,8.79225995264e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,227.919998169,nan,nan,nan,nan,''
