rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1530538146474776983,,0,,1530538143,725527048,"""0""","""BAC""",28.1900005341,"""2018-07-02""","""At close","""06",-0.479999989271,-1.66999995708,28.6700000763,29.0900001526,nan,nan,nan,nan,28.1800003052,29.1700000763,22.75,33.0499992371,102438344.0,66560204.0,2.85829988352e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.3500003815,nan,nan,nan,nan,''
1530538205489404916,,0,,1530538202,598661899,"""1""","""BAC""",28.1900005341,"""2018-07-02""","""As of  4","""06",-0.479999989271,-1.66999995708,28.6700000763,28.0799999237,nan,nan,nan,nan,28.1800003052,29.1700000763,22.75,33.0499992371,102438344.0,66560204.0,2.85829988352e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.3500003815,nan,nan,nan,nan,''
1530538263239887952,,0,,1530538261,427481889,"""2""","""BAC""",27.8700008392,"""2018-07-02""","""As of  9","""06",-0.319999992847,-1.13999998569,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1100006104,22.75,33.0499992371,2936026.0,66560204.0,2.8258500608e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.1700000763,nan,nan,nan,nan,''
1530538380052237033,,0,,1530538379,67512035,"""4""","""BAC""",27.9064998627,"""2018-07-02""","""As of  9","""06",-0.283499985933,-1.00999999046,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1100006104,22.75,33.0499992371,3802069.0,66560204.0,2.82954989568e+11,1.59000003338,1.72399997711,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.1900005341,nan,nan,nan,nan,''
1530538440671192884,,0,,1530538437,875830888,"""5""","""BAC""",27.9449996948,"""2018-07-02""","""As of  9","""06",-0.245000004768,-0.870000004768,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1100006104,22.75,33.0499992371,4175637.0,66560204.0,2.83346010112e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.2099990845,nan,nan,nan,nan,''
1530538497514128923,,0,,1530538496,719651937,"""6""","""BAC""",28.0100002289,"""2018-07-02""","""As of  9","""06",-0.180000007153,-0.639999985695,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1100006104,22.75,33.0499992371,4571216.0,66560204.0,2.8400500736e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.25,nan,nan,nan,nan,''
1530538556326045036,,0,,1530538555,491262912,"""7""","""BAC""",28.0550003052,"""2018-07-02""","""As of  9","""06",-0.135000005364,-0.479999989271,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1100006104,22.75,33.0499992371,4996181.0,66560204.0,2.84461006848e+11,1.59000003338,1.72399997711,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.2700004578,nan,nan,nan,nan,''
1530538618247262954,,0,,1530538614,368839979,"""8""","""BAC""",28.1200008392,"""2018-07-02""","""As of  9","""06",-0.070000000298,-0.25,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1200008392,22.75,33.0499992371,5313545.0,66560204.0,2.85120004096e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.3099994659,nan,nan,nan,nan,''
1530538675497047901,,0,,1530538673,188698053,"""9""","""BAC""",28.1200008392,"""2018-07-02""","""As of  9","""06",-0.070000000298,-0.230000004172,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1499996185,22.75,33.0499992371,5816582.0,66560204.0,2.85170991104e+11,1.59000003338,1.72000002861,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.3099994659,nan,nan,nan,nan,''
1530538734177607059,,0,,1530538731,993746042,"""10""","""BAC""",28.1879997253,"""2018-07-02""","""As of  9","""06",-0.00300000002608,-0.00999999977648,28.1900005341,28.0799999237,nan,nan,nan,nan,27.8299999237,28.1949996948,22.75,33.0499992371,6122508.0,66560204.0,2.85804003328e+11,1.59000003338,1.72399997711,'',0.479999989271,1.70000004768,'',nan,nan,nan,16.3500003815,nan,nan,nan,nan,''
