rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1529674911433841943,,0,,1529674908,383008956,"""13""","""BAC""",29.3299999237,"""2018-06-22""","""As of  9","""06",0.0399999991059,0.140000000596,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2999992371,29.4899997711,22.7299995422,33.0499992371,4141926.0,68098520.0,2.97388998656e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0100002289,nan,nan,nan,nan,''
1529674970223872900,,0,,1529674967,223287105,"""14""","""BAC""",nan,"""2018-06-22""",'',"""06",0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,'',nan,nan,'',nan,nan,nan,nan,nan,nan,nan,nan,''
1529675027068908929,,0,,1529675026,22983074,"""15""","""BAC""",29.3299999237,"""2018-06-22""","""As of  9","""06",0.0399999991059,0.15000000596,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2999992371,29.4899997711,22.7299995422,33.0499992371,4906185.0,68098520.0,2.97439002624e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0200004578,nan,nan,nan,nan,''
1529675087862406015,,0,,1529675084,877849102,"""16""","""BAC""",29.3400001526,"""2018-06-22""","""As of  9","""06",0.0500000007451,0.170000001788,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2999992371,29.4899997711,22.7299995422,33.0499992371,5014817.0,68098520.0,2.97489989632e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0200004578,nan,nan,nan,nan,''
1529675146466543912,,0,,1529675143,702020883,"""17""","""BAC""",29.3500003815,"""2018-06-22""","""As of  9","""06",0.0599999986589,0.20000000298,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2999992371,29.4899997711,22.7299995422,33.0499992371,5210784.0,68098520.0,2.97591013376e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0200004578,nan,nan,nan,nan,''
1529675203257117986,,0,,1529675202,515563011,"""18""","""BAC""",29.3400001526,"""2018-06-22""","""As of  9","""06",0.0500000007451,0.159999996424,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2999992371,29.4899997711,22.7299995422,33.0499992371,5330434.0,68098520.0,2.97446014976e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0200004578,nan,nan,nan,nan,''
1529675262233274936,,0,,1529675261,346697092,"""19""","""BAC""",29.3099994659,"""2018-06-22""","""As of  9","""06",0.019999999553,0.070000000298,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2900009155,29.4899997711,22.7299995422,33.0499992371,5646899.0,68098520.0,2.97186000896e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0,nan,nan,nan,nan,''
1529675321172154903,,0,,1529675320,175240039,"""20""","""BAC""",29.2999992371,"""2018-06-22""","""As of  9","""06",0.00999999977648,0.0299999993294,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2900009155,29.4899997711,22.7299995422,33.0499992371,5761742.0,68098520.0,2.97083994112e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0,nan,nan,nan,nan,''
1529675379666539907,,0,,1529675378,997814893,"""21""","""BAC""",29.264799118,"""2018-06-22""","""As of  9","""06",-0.0252000000328,-0.0900000035763,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6040655.0,68098520.0,2.9672800256e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,16.9699993134,nan,nan,nan,nan,''
1529675438738826990,,0,,1529675437,821738958,"""22""","""BAC""",29.2999992371,"""2018-06-22""","""As of  9","""06",0.00999999977648,0.0299999993294,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6236512.0,68098520.0,2.97083994112e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0,nan,nan,nan,nan,''
