rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1531142944304429054,,0,,1531142943,650795936,"""0""","""AMZN""",1710.63000488,"""2018-07-09""","""At close","""06",10.8999996185,0.639999985695,1699.72998047,1696.0,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,2650262.0,4099385.0,8.30043979776e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,215.169998169,nan,nan,nan,nan,''
1531143003518675088,,0,,1531143002,531599998,"""1""","""AMZN""",1710.63000488,"""2018-07-09""","""As of  4","""06",10.8999996185,0.639999985695,1699.72998047,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,2650262.0,4099385.0,8.30043979776e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,215.169998169,nan,nan,nan,nan,''
1531143062109703063,,0,,1531143061,340032100,"""2""","""AMZN""",1723.0,"""2018-07-09""","""As of  9","""06",12.3699998856,0.72000002861,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,136353.0,4099385.0,8.360460288e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.729995728,nan,nan,nan,nan,''
1531143179952466011,,0,,1531143179,2826929,"""4""","""AMZN""",1719.2800293,"""2018-07-09""","""As of  9","""06",8.64999961853,0.509999990463,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,177755.0,4099385.0,8.34239004672e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.259994507,nan,nan,nan,nan,''
1531143238751552104,,0,,1531143237,823657035,"""5""","""AMZN""",1721.38000488,"""2018-07-09""","""As of  9","""06",10.75,0.629999995232,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,209620.0,4099385.0,8.35259990016e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.529998779,nan,nan,nan,nan,''
1531143297347505092,,0,,1531143296,647758007,"""6""","""AMZN""",1722.06494141,"""2018-07-09""","""As of  9","""06",11.4350004196,0.670000016689,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,220637.0,4099385.0,8.35591995392e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.600006104,nan,nan,nan,nan,''
1531143356379923105,,0,,1531143355,449472904,"""7""","""AMZN""",1719.4699707,"""2018-07-09""","""As of  9","""06",8.84000015259,0.519999980927,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,245831.0,4099385.0,8.34332983296e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.289993286,nan,nan,nan,nan,''
1531143415096715927,,0,,1531143414,297063112,"""8""","""AMZN""",1720.96472168,"""2018-07-09""","""As of  9","""06",10.3346996307,0.600000023842,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,260772.0,4099385.0,8.35058991104e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.470001221,nan,nan,nan,nan,''
1531143474004647016,,0,,1531143473,119640111,"""9""","""AMZN""",1720.81005859,"""2018-07-09""","""As of  9","""06",10.1800003052,0.600000023842,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,274125.0,4099385.0,8.3498500096e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.449996948,nan,nan,nan,nan,''
1531143532718492031,,0,,1531143531,926934003,"""10""","""AMZN""",1717.32495117,"""2018-07-09""","""As of  9","""06",6.69500017166,0.389999985695,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,297236.0,4099385.0,8.33292009472e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.020004272,nan,nan,nan,nan,''
1531143591519551038,,0,,1531143590,767782926,"""11""","""AMZN""",1718.72998047,"""2018-07-09""","""As of  9","""06",8.10000038147,0.469999998808,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,317836.0,4099385.0,8.33973977088e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.190002441,nan,nan,nan,nan,''
1531143650540632963,,0,,1531143649,579524040,"""12""","""AMZN""",1720.16003418,"""2018-07-09""","""As of  9","""06",9.52999973297,0.560000002384,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,330643.0,4099385.0,8.34668003328e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.369995117,nan,nan,nan,nan,''
1531143709389491081,,0,,1531143708,411587953,"""13""","""AMZN""",1719.44995117,"""2018-07-09""","""As of  9","""06",8.81999969482,0.519999980927,1710.63000488,1724.05004883,nan,nan,nan,nan,nan,nan,931.75,1763.09997559,345188.0,4099385.0,8.34324004864e+11,1.72000002861,7.94999980927,'',nan,nan,'',nan,nan,nan,216.259994507,nan,nan,nan,nan,''
