rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1542378545225120067,,0,,1542378544,356173992,"""0""","""AMZN""",1619.43994141,"""2018-11-16""","""At close","""06",20.4300003052,1.27999997139,1599.01000977,1581.01000977,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,8046589.0,6139432.0,7.91856021504e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,128.25,nan,nan,1.94000005722,nan,''
1542378604316406965,,0,,1542378603,198832988,"""1""","""AMZN""",1619.43994141,"""2018-11-16""","""As of  4","""06",20.4300003052,1.27999997139,1599.01000977,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,8046589.0,6139432.0,7.91856021504e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,128.25,nan,nan,1.94000005722,nan,''
1542378662931983947,,0,,1542378662,58088064,"""2""","""AMZN""",1585.75,"""2018-11-16""","""As of  9","""06",-33.6899986267,-2.07999992371,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,325352.0,6139432.0,7.75383023616e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,125.580001831,nan,nan,1.94000005722,nan,''
1542378780495302915,,0,,1542378779,708024978,"""4""","""AMZN""",1584.60998535,"""2018-11-16""","""As of  9","""06",-34.8300018311,-2.15000009537,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,420774.0,6139432.0,7.74824984576e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,125.489997864,nan,nan,1.94000005722,nan,''
1542378839350837945,,0,,1542378838,517546892,"""5""","""AMZN""",1588.90002441,"""2018-11-16""","""As of  9","""06",-30.5400009155,-1.88999998569,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,462358.0,6139432.0,7.76922988544e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,125.830001831,nan,nan,1.94000005722,nan,''
1542378898224616050,,0,,1542378897,316797018,"""6""","""AMZN""",1588.11999512,"""2018-11-16""","""As of  9","""06",-31.3199996948,-1.92999994755,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,484999.0,6139432.0,7.765409792e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,125.769996643,nan,nan,1.94000005722,nan,''
1542378956902508974,,0,,1542378956,171010017,"""7""","""AMZN""",1583.90002441,"""2018-11-16""","""As of  9","""06",-35.5400009155,-2.19000005722,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,514698.0,6139432.0,7.74477971456e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,125.440002441,nan,nan,1.94000005722,nan,''
1542379015688601970,,0,,1542379015,2247095,"""8""","""AMZN""",1576.44995117,"""2018-11-16""","""As of  9","""06",-42.9900016785,-2.65000009537,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,570446.0,6139432.0,7.70835021824e+11,nan,12.6300001144,'',nan,nan,'',nan,nan,nan,124.849998474,nan,nan,1.94000005722,nan,''
1542379074577835083,,0,,1542379073,824562072,"""9""","""AMZN""",1578.4699707,"""2018-11-16""","""As of  9","""06",-40.9700012207,-2.52999997139,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,613722.0,6139432.0,7.71822977024e+11,nan,12.626999855,'',nan,nan,'',nan,nan,nan,125.010002136,nan,nan,1.94000005722,nan,''
1542379133386056900,,0,,1542379132,650001049,"""10""","""AMZN""",1578.91113281,"""2018-11-16""","""As of  9","""06",-40.5288009644,-2.5,1619.43994141,1587.5,nan,nan,nan,nan,nan,nan,1122.55004883,2050.5,633438.0,6139432.0,7.7203898368e+11,nan,12.626999855,'',nan,nan,'',nan,nan,nan,125.040000916,nan,nan,1.94000005722,nan,''
